category,name,n_original_correct,n_attack_success,asr_pct,wilson_ci_lower_pct,wilson_ci_upper_pct
Overall,Total,31896,1931,6.054050664660146,5.797581916516305,6.321103575419712
Generator,claude_sonnet,7974,384,4.815650865312264,4.3671014692544246,5.307714241294801
Generator,gemini,7974,466,5.843992977175821,5.350080215827416,6.380429391956049
Generator,gpt,7974,311,3.9001755706044645,3.4969701057155813,4.347776647539749
Generator,hyperclova_x,7974,770,9.656383245548032,9.027389405233823,10.324229284979015
Target,claude_sonnet,8276,460,5.5582406959884,5.084928322827052,6.072790860751104
Target,gemini,8408,286,3.401522359657469,3.034849985467452,3.8107552442514727
Target,gpt,8092,504,6.228373702422145,5.722304268811147,6.775982215273327
Target,hyperclova_x,7120,681,9.564606741573034,8.903105534706688,10.269716694927833
Label,Entailment,11580,570,4.922279792746114,4.542992133624731,5.331464996049627
Label,Neutral,9548,867,9.080435693338918,8.520439694997448,9.673344888977988
Label,Contradiction,10768,494,4.587667161961367,4.208435542575815,4.999288713414871
